param,mean,std
mean_on_ret2,0.00018062337588399213,3.266144797054262e-05
std_on_ret2,0.00022821602234798937,4.2844316315647366e-05
q1_on_ret2,-0.0004844346128761358,0.00013054647950014263
q5_on_ret2,-0.00036371131290243125,9.552802359443928e-05
q95_on_ret2,0.00034559032670675497,9.85955654321543e-05
q99_on_ret2,0.00047879875962835057,0.00011907669318081893
kurtosis_on_ret2,0.3654729791562975,0.9169742869971036
skewness_on_ret,-0.06438062003556784,0.3352086163153109
autocorr_on_ret_1,0.16172420059879006,0.04416416538736962
autocorr_on_ret_5,0.22552653663651248,0.03726630448079523
autocorr_on_ret_10,0.23974962951346043,0.034347209169115864
autocorr_on_abs_1,0.14438655566982742,0.04365820524754835
autocorr_on_abs_5,0.08623199218943584,0.04683899951839431
autocorr_on_abs_10,0.06827934466140352,0.04104698785223583
