param,mean,std
mean_on_ret2,0.0016935584898197789,0.0002539315779071126
std_on_ret2,0.001898379130139522,0.00032364500746807126
q1_on_ret2,-0.003932269244472804,0.001360398459504035
q5_on_ret2,-0.002942999375513465,0.001072127927745121
q95_on_ret2,0.0029514902313965653,0.0011164429146392806
q99_on_ret2,0.003856638571311539,0.0012187347991777964
kurtosis_on_ret2,0.14148845847210206,1.087286170463376
skewness_on_ret,0.005394483866406947,0.27909306265926304
autocorr_on_ret_1,0.16698581173183985,0.04805211539632986
autocorr_on_ret_5,0.26684114278003435,0.04135536948444513
autocorr_on_ret_10,0.2753718735131332,0.04268176212650493
autocorr_on_abs_1,0.20411870234160145,0.05294687257217736
autocorr_on_abs_5,0.10313024809406071,0.04659645561055004
autocorr_on_abs_10,0.07306277628439227,0.045778191698716116
