param,mean,std
mean_on_ret2,0.00172090494250549,0.0002573903341978158
std_on_ret2,0.0019839360084156115,0.00038756430640650576
q1_on_ret2,-0.004302764769485626,0.0018115978687027535
q5_on_ret2,-0.003081449756394166,0.0012910317558079626
q95_on_ret2,0.0030194232209328742,0.0010847793428566605
q99_on_ret2,0.004069174313599418,0.0015452392495152
kurtosis_on_ret2,0.5538241168312471,1.5610399154716597
skewness_on_ret,-0.02301250162774985,0.30844598432332326
autocorr_on_ret_1,0.15273305695593584,0.04814672539533192
autocorr_on_ret_5,0.27510592235809533,0.03551722161645754
autocorr_on_ret_10,0.28875502657172275,0.040108404801806774
autocorr_on_abs_1,0.21477764623469142,0.04944050523476954
autocorr_on_abs_5,0.11473160156971585,0.04640252038109617
autocorr_on_abs_10,0.07551900033420435,0.04624758713022942
