param,mean,std
mean_on_ret2,0.00026715997286323766,5.1588971553385975e-05
std_on_ret2,0.00030928843277974597,6.126748113463099e-05
q1_on_ret2,-0.0006764868570037893,0.00027999720773787566
q5_on_ret2,-0.00048237414767650686,0.00019410426374881176
q95_on_ret2,0.0004611251112674551,0.0001813514777130384
q99_on_ret2,0.0006129801628342487,0.00021629702358145846
kurtosis_on_ret2,0.45825736722865384,1.3438695109398975
skewness_on_ret,0.012854887420400756,0.3837364211450664
autocorr_on_ret_1,0.17124939442226444,0.05124797739806021
autocorr_on_ret_5,0.25213467699361647,0.048404744330366206
autocorr_on_ret_10,0.25407615601627265,0.04408287417600693
autocorr_on_abs_1,0.16986926704462374,0.048074932084522265
autocorr_on_abs_5,0.10734588951317534,0.04477232192966589
autocorr_on_abs_10,0.08038615710688914,0.04333426275412168
