mean_on_ret2,std_on_ret2,q1_on_ret2,q5_on_ret2,q95_on_ret2,q99_on_ret2,kurtosis_on_ret2,skewness_on_ret,autocorr_on_ret_1,autocorr_on_ret_5,autocorr_on_ret_10,autocorr_on_abs_1,autocorr_on_abs_5,autocorr_on_abs_10
112499405.50462748,-122504165.9603841,-10515845.9610483,2314636.8357187095,-607033.9465518268,10168079.940876339,2739.6418558193773,-434.0503400401672,28362.0980238944,-31461.50863733258,-34645.83216929588,7435.927131839262,-13780.934566293308,16217.545217536726
-122504165.96038456,211354561.89336795,21881856.879484475,6972520.103676946,-7923860.654239621,-22496389.493769165,-2868.832860867553,534.7742158602945,-38556.580948313545,23187.315324593892,16526.03748516473,-11865.670799026648,15290.809780368862,-10226.949044643432
-10515845.961048855,21881856.87948534,3383111.4696407355,-284306.3339881602,-471314.57599637244,-2836902.3646860947,166.63918378747385,-120.45316569468147,-3045.502887930472,1246.0390633980205,329.93411699944375,-585.4468482020536,1515.3260502154951,-101.27826629899559
2314636.8357191617,6972520.103676168,-284306.3339882549,3890820.860515425,-1553933.4376726146,-603419.1518271378,-521.1764842482909,52.99800857928621,-957.8436032989681,2774.9811938737716,1481.0590550459074,977.0069169449214,1226.2135926385695,1954.0283194720876
-607033.9465528061,-7923860.654237795,-471314.57599612424,-1553933.4376726015,3519951.393673601,-226785.37404521753,657.3380234094021,-19.29663610950783,3420.274984199317,-46.856305265598046,2896.2398249968396,803.0427403890151,179.41802077644516,-810.8740689487147
10168079.940877039,-22496389.4937703,-2836902.364686142,-603419.151827234,-226785.37404498042,3660666.057716411,-255.9645061513427,-181.1671927618171,2553.771815155018,-620.7114961235607,-234.51114363385014,534.1396596840749,-1271.6466061015503,-147.14796964757682
2739.6418558189202,-2868.8328608667703,166.63918378757472,-521.1764842482904,657.338023409392,-255.96450615143434,0.636701233487239,-4.104602792779811e-05,1.340865274882985,-1.1331152087146055,0.7373063550560839,-1.1393085144420405,-1.9471624632449864,-0.0470406876151097
-434.0503400403269,534.7742158605566,-120.45316569465373,52.998008579293106,-19.29663610949974,-181.16719276185538,-4.104602792758003e-05,0.6305615119200653,-0.7066694322717345,-0.03220695207415552,1.2401915008331212,1.2638088583501927,-0.32576748390540233,-0.886597640439206
28362.098023896117,-38556.580948316565,-3045.5028879306587,-957.8436032992192,3420.27498419969,2553.771815155186,1.3408652748831458,-0.7066694322716642,553.6636314772624,-181.42056644122775,-197.956023329134,23.418761950711072,19.22071779557087,-0.6948803679367499
-31461.508637332583,23187.315324592742,1246.0390633977424,2774.9811938737503,-46.8563052657183,-620.7114961232248,-1.1331152087147274,-0.03220695207420772,-181.42056644122732,794.2374306761945,-378.3728770514593,82.56331548115955,-62.2299783081483,31.94966832441384
-34645.83216930084,16526.03748517455,329.93411700056095,1481.0590550462382,2896.2398249964253,-234.51114363499127,0.7373063550559928,1.240191500833101,-197.9560233291354,-378.37287705145854,793.5508402330602,34.27123284782088,41.09558386920184,-39.53093845746838
7435.927131841959,-11865.670799031423,-585.4468482026148,977.0069169447967,803.0427403890943,534.1396596846166,-1.1393085144419979,1.2638088583502474,23.418761950711456,82.56331548115907,34.27123284782104,344.7333341667438,-171.67743915909455,-103.1317439574088
-13780.934566295979,15290.809780372549,1515.3260502159462,1226.2135926384726,179.41802077628452,-1271.6466061018489,-1.9471624632450493,-0.3257674839054934,19.22071779557036,-62.22997830814761,41.095583869201946,-171.67743915909446,549.7966985413792,-270.28134121836246
16217.545217532119,-10226.949044637866,-101.27826629867474,1954.0283194722965,-810.8740689489433,-147.14796964796776,-0.04704068761530456,-0.88659764043913,-0.6948803679381117,31.94966832441543,-39.53093845746727,-103.13174395740937,-270.2813412183618,586.6610901197861
